company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
AMERICA'S HEROS COMICS & GAMES,104 W RANCIER AVE,,KILLEEN,TX,765,76541,3347,3,59429905,COMIC BOOKS,,,,,,
BEDROCK CITY COMIC COMPANY,106 W BAY AREA BLVD,,WEBSTER,TX,775,77598,4112,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,,,,
REBELS COMIC VAULT,10781 PEBBLE HILLS BLVD,,EL PASO,TX,799,79935,2038,4,59429905,COMIC BOOKS,32720302,"BURIAL VAULTS, CONCRETE OR PRECAST TERRAZZO",,,,
RED BEARD COMICS,10822 BRIARWAY DR,,SAN ANTONIO,TX,782,78217,2832,3,59429905,COMIC BOOKS,,,,,,
DARK NIGHT COMIC,1102 S 77 SUNSHINE STRIP,,HARLINGEN,TX,785,78550,8002,3,59429905,COMIC BOOKS,,,,,,
MADNESS COMICS & GAMES,111 E UNIVERSITY DR STE 112,,DENTON,TX,762,76209,2000,3,59429905,COMIC BOOKS,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,,,
BLACK 7 COMICS,1110 W MAIN ST,,LEWISVILLE,TX,750,75067,3426,3,59429905,COMIC BOOKS,,,,,,
COSMIC COMICS GROUP,1131 WOODALL CIR,,NEW BRAUNFELS,TX,781,78130,1112,3,59429905,COMIC BOOKS,,,,,,
POP CULTURE CO,11319 KATY FWY,,HOUSTON,TX,770,77079,2014,3,59429905,COMIC BOOKS,,,,,,
GOOD TIME CHARLIES ANTIQUES &,114 W KNOX ST,,ENNIS,TX,751,75119,4024,3,59320000,USED MERCHANDISE STORES,59429905,COMIC BOOKS,55119903,"TRUCKS, TRACTORS, AND TRAILERS: NEW AND USED",,
DNA COMICS - WOODLANDS,1201 LAKE WOODLANDS DR,,SPRING,TX,773,77380,5000,4,59429905,COMIC BOOKS,,,,,,
LONE STAR COMICS BOOKS GAMES,1215 S COOPER ST,,ARLINGTON,TX,760,76010,2556,3,59429905,COMIC BOOKS,5945,"HOBBY, TOY, AND GAME SHOPS",,,,
KOKOS COMIC JOINT,12323 N GESSNER RD,,HOUSTON,TX,770,77064,7684,4,59429905,COMIC BOOKS,,,,,,
DEEP BLUE SEA COMICS & GAMES,1302 SAM HOUSTON AVE,,HUNTSVILLE,TX,773,77340,4554,4,59429905,COMIC BOOKS,50440000,OFFICE EQUIPMENT,,,,
KNIX COMICS & GAMES,1302 SAM HOUSTON AVE STE B,,HUNTSVILLE,TX,773,77340,4554,3,59429905,COMIC BOOKS,,,,,,
SOUTHEAST TEXAS COMICS,13069 POWERS RD,,HAMSHIRE,TX,776,77622,8444,3,59429905,COMIC BOOKS,,,,,,
WWWCOMICBUGCOM,13069 POWERS RD,,HAMSHIRE,TX,776,77622,8444,3,59429905,COMIC BOOKS,,,,,,
COMIC RELIEF,1330 AQUARENA SPRINGS DR # 101,,SAN MARCOS,TX,786,78666,7241,3,59429905,COMIC BOOKS,59990000,"MISCELLANEOUS RETAIL STORES, NEC",59990000,"MISCELLANEOUS RETAIL STORES, NEC",,
E ACTION FIGURES,13333 NORTHBOROUGH DR,,HOUSTON,TX,770,77067,1733,4,59429905,COMIC BOOKS,,,,,,
ZEUS TOYS & COMICS,1334 INWOOD RD,,DALLAS,TX,752,75247,6806,3,59429905,COMIC BOOKS,,,,,,
